Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
1,NE,35 (6),3 (2),14 (4),7 (3),4 (3),2 (2),1 (1),56 (7),66 (6),78 (6),42 (7),36 (6),6 (3),3 (2),1 (1)
1,NH,29 (5),0 (1),8 (3),6 (3),3 (2),0 (0),0 (1),66 (6),77 (5),81 (5),54 (6),28 (5),6 (3),3 (3),1 (1)
1,NJ,22 (4),1 (1),9 (3),5 (2),7 (3),1 (1),3 (2),77 (4),82 (4),82 (4),78 (4),21 (4),5 (2),1 (1),0 (0)
1,NM,31 (12),2 (3),16 (9),8 (5),3 (2),4 (5),1 (2),62 (12),78 (9),82 (10),48 (13),38 (13),12 (9),0 (1),0 (0)
1,NV,25 (6),0 (1),8 (3),5 (3),6 (2),1 (1),4 (2),67 (6),78 (5),86 (4),54 (6),20 (4),4 (2),1 (1),1 (1)
1,NY,13 (3),1 (1),4 (2),4 (2),4 (2),2 (1),3 (1),80 (4),80 (4),84 (4),77 (4),21 (4),4 (2),1 (1),1 (0)
1,OH,30 (5),1 (1),7 (3),6 (2),6 (2),1 (1),2 (1),70 (5),75 (5),82 (4),44 (5),25 (4),6 (2),1 (1),0 (1)
1,OK,33 (5),1 (1),14 (4),8 (3),7 (3),2 (2),1 (1),58 (6),66 (5),78 (5),41 (6),35 (5),5 (3),2 (2),1 (1)
1,OR,26 (5),0 (0),9 (4),6 (3),3 (1),1 (1),3 (2),65 (5),79 (4),77 (5),50 (5),26 (5),4 (2),1 (1),2 (2)
1,PA,21 (4),1 (1),7 (2),4 (2),6 (2),1 (1),2 (1),72 (4),75 (4),80 (4),64 (5),23 (4),5 (2),2 (1),0 (1)
1,RI,23 (6),2 (2),5 (2),6 (3),4 (3),3 (3),2 (2),75 (6),78 (6),76 (6),72 (7),22 (5),5 (3),0 (0),1 (1)
1,SC,29 (5),0 (0),10 (3),7 (2),6 (3),2 (1),1 (1),66 (5),73 (5),82 (4),41 (5),31 (5),5 (2),1 (1),1 (1)
1,SD,33 (9),1 (1),6 (3),3 (3),5 (4),0 (0),0 (0),54 (10),68 (9),73 (9),29 (8),39 (9),7 (4),1 (2),1 (1)
1,TN,33 (5),1 (1),7 (3),7 (2),7 (3),2 (1),1 (1),68 (5),77 (4),82 (4),52 (6),29 (5),5 (3),2 (1),1 (1)
1,TX,25 (5),1 (1),9 (3),6 (3),7 (3),1 (1),1 (1),69 (5),74 (5),82 (4),59 (5),22 (4),5 (2),1 (1),2 (2)
1,UT,39 (6),2 (1),15 (5),11 (4),9 (4),2 (2),5 (3),57 (6),69 (6),80 (5),37 (6),33 (5),8 (3),3 (2),0 (0)
1,VA,25 (4),2 (1),8 (3),5 (2),7 (3),1 (1),2 (2),72 (4),75 (4),82 (4),54 (5),25 (4),3 (2),0 (1),0 (0)
1,VT,29 (8),3 (3),7 (4),4 (3),3 (3),0 (1),1 (1),74 (8),80 (7),80 (7),60 (9),23 (8),7 (5),0 (0),0 (0)
1,WA,18 (4),0 (0),8 (3),4 (3),5 (2),0 (0),3 (2),70 (6),75 (5),79 (5),46 (6),18 (4),2 (1),1 (1),2 (2)
1,WI,29 (5),0 (1),6 (3),6 (3),5 (2),1 (1),1 (1),60 (5),70 (5),76 (4),37 (5),27 (5),5 (2),1 (1),0 (0)
1,WV,31 (6),1 (1),11 (4),5 (3),5 (2),1 (1),0 (0),69 (6),76 (5),81 (5),52 (6),32 (6),7 (4),2 (2),1 (1)
1,WY,35 (11),0 (1),16 (8),3 (4),6 (4),1 (3),0 (0),55 (11),65 (11),75 (9),35 (11),40 (12),7 (5),0 (1),0 (1)
2,National,27 (1),2 (0),11 (1),7 (0),6 (0),2 (0),2 (0),63 (1),72 (1),78 (1),62 (1),29 (1),7 (0),2 (0),1 (0)
2,AK,33 (10),3 (3),15 (7),6 (3),10 (6),3 (2),2 (4),48 (11),63 (10),77 (9),62 (10),40 (10),9 (6),1 (2),3 (5)
2,AL,24 (5),1 (1),17 (5),7 (3),9 (4),4 (2),1 (1),60 (6),71 (5),80 (5),55 (6),30 (5),7 (3),2 (2),2 (1)
2,AR,33 (6),2 (2),18 (5),7 (3),10 (4),3 (2),0 (0),49 (7),65 (6),73 (6),41 (6),39 (6),9 (4),2 (1),2 (2)
2,AZ,26 (6),1 (1),11 (4),5 (2),9 (4),1 (1),3 (2),59 (7),69 (6),77 (6),52 (7),26 (6),6 (3),0 (0),1 (1)
2,CA,24 (4),2 (1),9 (3),8 (3),6 (2),2 (1),3 (2),70 (4),78 (4),78 (3),76 (4),25 (4),4 (1),2 (1),1 (0)
2,CO,31 (6),2 (2),10 (4),6 (2),8 (3),2 (2),2 (1),53 (6),64 (6),73 (5),61 (6),32 (5),6 (3),4 (3),1 (2)
2,CT,30 (6),1 (1),10 (4),3 (2),5 (3),1 (1),2 (1),68 (6),74 (5),85 (4),79 (5),26 (5),6 (3),1 (1),0 (1)
2,DC,20 (7),3 (2),6 (3),6 (4),9 (5),3 (3),5 (4),72 (8),78 (7),85 (5),80 (6),32 (8),12 (6),0 (1),0 (1)
2,DE,24 (6),0 (0),8 (3),4 (3),4 (2),1 (2),1 (2),68 (6),81 (5),82 (5),85 (5),24 (6),6 (3),1 (1),1 (1)
2,FL,23 (4),2 (1),12 (3),6 (2),6 (2),2 (1),3 (2),67 (4),73 (4),80 (4),65 (4),24 (4),4 (1),1 (1),1 (0)
2,GA,25 (4),3 (2),12 (3),7 (3),7 (3),3 (2),2 (2),69 (5),76 (4),78 (5),65 (5),27 (5),6 (2),1 (1),1 (1)
2,HI,33 (9),4 (4),15 (7),3 (3),4 (3),2 (2),3 (3),53 (9),66 (9),78 (8),77 (8),31 (8),9 (6),2 (3),0 (0)
2,IA,39 (6),2 (2),17 (5),6 (2),5 (2),2 (1),1 (1),49 (6),62 (6),70 (6),40 (6),39 (6),8 (3),1 (1),2 (2)
2,ID,31 (6),1 (1),19 (5),7 (3),10 (4),3 (2),1 (2),51 (6),64 (6),73 (6),40 (6),43 (6),12 (4),4 (3),3 (2)
2,IL,27 (4),2 (1),13 (3),7 (2),4 (2),2 (1),3 (1),66 (5),72 (4),76 (4),68 (5),27 (4),7 (2),2 (1),0 (0)
2,IN,30 (5),1 (1),10 (4),7 (3),7 (3),2 (1),1 (1),57 (5),68 (5),76 (5),54 (6),31 (5),6 (3),2 (1),1 (0)
2,KS,29 (5),2 (2),15 (4),10 (4),9 (3),1 (2),2 (2),57 (6),66 (6),73 (5),47 (6),33 (5),6 (2),2 (2),1 (1)
2,KY,22 (5),0 (0),11 (4),4 (2),5 (3),2 (2),0 (1),59 (6),74 (5),73 (5),49 (6),29 (6),6 (3),1 (1),0 (0)
2,LA,29 (6),2 (2),17 (5),7 (3),8 (3),3 (3),2 (2),63 (6),72 (6),76 (6),52 (6),26 (5),6 (2),2 (2),1 (1)
2,MA,23 (4),0 (0),8 (3),3 (2),5 (2),0 (0),2 (1),72 (4),79 (4),81 (4),77 (5),25 (4),4 (2),2 (1),1 (1)
2,MD,25 (5),1 (1),9 (3),4 (3),5 (3),2 (2),3 (3),73 (5),80 (4),82 (4),82 (4),24 (5),7 (3),2 (1),1 (1)
2,ME,29 (5),1 (1),12 (4),4 (2),9 (4),1 (1),1 (1),65 (5),76 (5),79 (5),68 (5),32 (5),4 (2),1 (1),1 (1)
2,MI,20 (4),0 (0),10 (3),8 (3),4 (2),1 (1),1 (1),64 (5),72 (4),77 (4),68 (5),29 (4),7 (3),1 (1),1 (1)
2,MN,28 (5),1 (1),12 (4),5 (2),4 (2),1 (1),2 (2),59 (5),68 (5),72 (5),45 (5),31 (5),8 (3),4 (2),0 (0)
2,MO,29 (5),2 (2),13 (4),10 (3),5 (2),3 (2),1 (1),57 (5),69 (5),76 (5),50 (5),35 (5),8 (3),3 (2),1 (1)
2,MS,31 (6),2 (1),13 (4),4 (2),7 (3),7 (5),1 (2),53 (7),64 (7),81 (5),54 (7),39 (7),10 (4),4 (3),1 (1)
2,MT,42 (8),2 (2),15 (5),16 (6),9 (5),5 (4),2 (3),44 (8),60 (7),75 (6),35 (7),42 (8),11 (5),3 (2),1 (1)
2,NC,28 (5),1 (2),12 (3),9 (3),9 (3),3 (2),1 (1),55 (5),65 (5),75 (5),56 (5),31 (5),7 (3),2 (2),1 (1)
2,ND,33 (10),1 (1),22 (9),14 (8),4 (3),3 (4),0 (0),40 (10),59 (10),71 (9),32 (9),45 (10),10 (6),5 (5),2 (3)
2,NE,39 (8),2 (1),15 (6),4 (2),6 (4),1 (2),1 (1),55 (8),72 (7),76 (7),43 (8),33 (7),6 (3),2 (1),0 (0)
2,NH,27 (5),3 (2),11 (4),7 (3),7 (3),0 (0),0 (0),62 (6),75 (5),81 (4),60 (6),30 (5),5 (2),2 (2),2 (1)
2,NJ,25 (4),1 (1),9 (3),6 (2),4 (2),1 (1),2 (1),68 (5),76 (4),80 (4),79 (4),26 (4),5 (2),1 (2),2 (1)
2,NM,34 (9),0 (0),9 (5),10 (7),6 (5),1 (1),2 (3),53 (10),66 (9),68 (9),57 (9),26 (8),5 (4),2 (2),1 (2)
2,NV,25 (6),0 (1),12 (4),9 (4),7 (4),1 (2),5 (2),63 (6),70 (6),80 (5),60 (6),29 (5),4 (2),1 (1),2 (2)
2,NY,18 (3),3 (2),9 (3),4 (2),5 (2),2 (1),4 (2),75 (4),77 (4),81 (3),82 (3),22 (4),5 (2),1 (1),0 (0)
2,OH,25 (4),1 (1),11 (3),6 (2),6 (2),1 (1),1 (1),58 (5),73 (4),80 (4),54 (5),30 (4),6 (2),2 (1),1 (1)
2,OK,29 (7),2 (1),16 (5),9 (4),10 (5),7 (5),1 (1),54 (7),64 (7),71 (7),47 (7),33 (6),9 (4),3 (2),1 (1)
2,OR,26 (4),1 (1),12 (4),8 (3),4 (2),1 (1),2 (1),59 (5),65 (5),75 (5),47 (5),31 (5),7 (3),1 (1),2 (1)
2,PA,27 (4),1 (1),10 (3),5 (2),6 (2),1 (1),3 (2),66 (4),72 (4),78 (4),75 (4),26 (4),5 (2),2 (1),1 (1)
2,RI,21 (5),1 (1),10 (4),6 (3),8 (4),2 (2),3 (2),71 (6),79 (5),82 (5),82 (5),24 (6),4 (3),1 (1),1 (1)
2,SC,34 (6),3 (3),15 (5),10 (4),9 (4),4 (2),2 (1),55 (6),69 (6),79 (5),51 (6),32 (6),9 (4),2 (1),0 (1)
2,SD,35 (8),2 (1),12 (6),11 (5),5 (3),2 (2),1 (1),51 (8),64 (8),65 (8),40 (8),41 (8),11 (5),2 (2),1 (1)
2,TN,31 (5),2 (1),11 (3),8 (3),9 (3),3 (2),1 (1),60 (5),68 (5),77 (5),52 (6),35 (5),9 (3),3 (2),1 (1)
2,TX,29 (4),1 (1),12 (3),10 (3),3 (1),5 (2),3 (2),66 (4),74 (4),77 (4),65 (4),27 (4),9 (3),1 (1),1 (1)
2,UT,36 (6),4 (3),16 (4),12 (5),7 (3),0 (0),2 (1),51 (7),65 (7),81 (5),44 (7),36 (7),8 (3),1 (2),2 (3)
2,VA,25 (4),3 (2),12 (3),6 (2),5 (2),3 (2),2 (1),64 (5),72 (4),81 (4),59 (5),27 (4),6 (2),1 (1),0 (0)
2,VT,26 (7),1 (1),12 (5),5 (3),4 (3),0 (0),0 (1),64 (7),71 (7),72 (7),67 (7),29 (7),4 (3),1 (2),1 (2)
2,WA,24 (5),2 (1),7 (3),7 (3),8 (3),1 (1),3 (2),62 (5),74 (5),77 (5),56 (5),23 (4),5 (2),2 (1),2 (1)
2,WI,34 (5),0 (0),12 (3),7 (3),5 (2),2 (1),2 (1),55 (5),69 (4),77 (4),49 (5),30 (4),5 (2),2 (1),0 (0)
2,WV,26 (6),1 (2),11 (5),4 (2),7 (4),3 (3),0 (0),64 (7),77 (6),80 (6),58 (7),32 (6),6 (3),2 (2),0 (0)
2,WY,38 (9),3 (3),12 (6),2 (2),5 (5),2 (3),0 (0),44 (10),54 (10),71 (9),34 (10),44 (10),11 (6),2 (2),4 (4)
3,National,30 (1),3 (0),15 (1),10 (1),9 (1),3 (0),2 (0),58 (1),67 (1),77 (1),64 (1),35 (1),9 (0),3 (0),1 (0)
3,AK,35 (12),3 (3),20 (10),15 (9),16 (10),6 (7),2 (3),33 (11),47 (12),72 (11),54 (12),40 (12),9 (6),6 (6),1 (2)
3,AL,36 (7),2 (2),22 (6),18 (6),9 (5),3 (3),0 (0),50 (7),61 (7),79 (6),50 (7),46 (7),13 (5),3 (2),0 (0)
3,AR,33 (7),4 (3),20 (6),14 (5),14 (5),5 (3),2 (2),42 (7),52 (7),72 (7),46 (7),42 (7),8 (4),4 (3),1 (1)
3,AZ,29 (5),4 (2),13 (3),15 (4),11 (4),2 (1),3 (2),53 (6),66 (5),79 (5),53 (6),38 (5),7 (3),4 (2),1 (1)
3,CA,32 (5),2 (1),12 (3),8 (2),8 (3),2 (1),3 (2),63 (5),71 (5),76 (4),73 (5),29 (4),4 (1),2 (1),1 (1)
3,CO,28 (5),2 (1),17 (5),8 (3),8 (3),2 (1),1 (1),52 (6),64 (6),69 (5),63 (6),36 (6),14 (5),1 (1),0 (1)
3,CT,24 (7),1 (1),17 (6),8 (4),6 (3),4 (5),3 (4),59 (8),74 (7),83 (6),81 (7),27 (7),5 (4),1 (1),1 (2)
3,DC,23 (8),5 (4),21 (10),12 (8),13 (9),8 (8),11 (8),65 (10),70 (10),74 (10),76 (11),33 (10),9 (5),0 (0),1 (1)
3,DE,32 (6),3 (2),12 (4),5 (3),5 (3),1 (1),3 (2),68 (6),76 (5),87 (4),83 (5),32 (6),7 (3),2 (2),1 (1)
3,FL,32 (5),3 (1),12 (3),12 (3),7 (2),3 (2),2 (1),59 (5),67 (5),77 (4),67 (5),36 (5),9 (3),3 (2),1 (1)
3,GA,31 (5),5 (3),15 (4),13 (4),9 (3),4 (2),2 (2),59 (6),65 (5),75 (5),63 (5),39 (6),8 (3),5 (3),1 (2)
3,HI,39 (8),2 (2),20 (7),11 (5),9 (4),3 (2),3 (3),56 (8),64 (7),80 (6),76 (7),36 (8),12 (5),2 (2),1 (1)
3,IA,33 (7),4 (3),20 (6),9 (4),7 (3),1 (1),2 (2),44 (7),61 (7),70 (7),42 (7),43 (7),9 (4),3 (2),1 (1)
3,ID,38 (6),4 (3),24 (6),16 (5),11 (4),2 (2),1 (1),41 (6),49 (6),70 (6),35 (6),45 (6),15 (5),4 (2),2 (2)
3,IL,27 (4),3 (1),13 (3),5 (2),9 (3),2 (1),4 (2),61 (5),69 (4),79 (4),76 (4),29 (4),9 (3),2 (1),1 (1)
3,IN,30 (5),1 (1),15 (4),13 (4),10 (4),6 (3),3 (3),46 (6),60 (6),70 (6),56 (6),36 (6),8 (3),3 (2),2 (2)
3,KS,35 (7),4 (3),17 (6),11 (4),12 (5),4 (3),0 (1),54 (8),67 (7),74 (7),48 (8),41 (8),11 (5),4 (2),2 (3)
3,KY,32 (7),1 (1),16 (6),13 (5),10 (5),3 (3),1 (1),46 (7),61 (7),75 (7),52 (7),40 (7),10 (4),2 (2),0 (0)
3,LA,39 (7),5 (3),22 (6),9 (4),11 (4),6 (4),1 (1),58 (7),69 (6),76 (5),62 (6),37 (6),10 (4),3 (2),1 (1)
3,MA,29 (5),1 (1),12 (4),5 (2),8 (3),1 (1),1 (1),62 (5),67 (5),74 (5),79 (5),32 (5),6 (2),3 (2),1 (1)
3,MD,26 (5),2 (2),10 (4),3 (2),7 (3),3 (2),2 (2),67 (6),82 (4),79 (5),78 (5),26 (5),5 (2),1 (2),0 (1)
3,ME,25 (5),1 (1),14 (4),5 (3),9 (3),1 (1),1 (1),58 (6),70 (5),74 (5),59 (6),35 (5),4 (2),3 (2),1 (1)
3,MI,27 (5),1 (1),13 (3),5 (2),9 (3),2 (1),2 (1),59 (5),70 (5),78 (4),69 (5),37 (5),7 (3),3 (2),2 (2)
3,MN,26 (6),1 (1),18 (5),9 (4),8 (4),3 (3),2 (1),50 (7),63 (6),68 (6),49 (7),34 (6),7 (4),4 (3),0 (0)
3,MO,34 (5),4 (2),16 (4),11 (3),9 (3),2 (2),2 (2),53 (6),66 (5),76 (5),52 (6),40 (5),12 (3),5 (2),1 (1)
3,MS,40 (11),5 (5),10 (4),12 (6),10 (6),5 (3),1 (1),51 (11),63 (11),76 (10),62 (11),38 (10),15 (8),2 (2),0 (1)
3,MT,41 (9),6 (4),17 (6),14 (6),11 (6),2 (2),1 (2),40 (9),57 (9),75 (8),41 (9),44 (9),10 (5),4 (3),0 (1)
3,NC,25 (5),2 (2),11 (3),13 (4),12 (4),4 (2),1 (2),60 (5),69 (5),84 (4),59 (6),34 (5),8 (3),4 (2),1 (1)
3,ND,44 (9),2 (2),20 (7),18 (6),10 (6),1 (1),0 (1),43 (9),50 (9),71 (8),33 (8),47 (9),11 (5),5 (4),3 (3)
3,NE,35 (9),5 (4),10 (6),9 (5),4 (3),6 (5),3 (3),48 (10),65 (10),70 (9),56 (10),36 (9),8 (4),2 (2),0 (0)
3,NH,24 (5),1 (2),15 (4),9 (3),5 (3),1 (1),2 (2),61 (6),73 (5),78 (5),65 (6),33 (6),5 (2),2 (1),0 (1)
3,NJ,28 (5),2 (1),14 (4),4 (2),8 (3),2 (1),2 (1),64 (5),72 (5),78 (4),78 (4),31 (5),5 (2),1 (1),1 (2)
3,NM,15 (6),0 (1),12 (8),5 (4),18 (11),1 (1),0 (1),52 (12),67 (12),76 (11),63 (12),34 (12),9 (9),1 (1),0 (0)
3,NV,36 (8),1 (1),13 (6),9 (4),6 (3),2 (3),3 (2),55 (8),64 (8),80 (6),65 (8),35 (8),9 (5),2 (2),1 (1)
3,NY,22 (4),3 (1),10 (3),5 (2),10 (3),1 (1),6 (2),70 (4),73 (4),80 (4),81 (4),29 (4),5 (2),2 (1),1 (0)
3,OH,31 (5),2 (2),16 (4),11 (3),9 (3),3 (2),1 (1),50 (5),62 (5),74 (5),59 (5),38 (5),12 (3),3 (2),1 (2)
3,OK,32 (7),4 (4),18 (6),11 (4),7 (4),7 (4),0 (0),47 (8),60 (7),74 (7),46 (7),41 (7),11 (4),6 (4),1 (1)
3,OR,30 (5),3 (2),19 (4),9 (3),7 (3),2 (1),3 (1),50 (5),62 (5),71 (5),53 (5),47 (5),8 (3),4 (2),2 (1)
3,PA,31 (4),1 (1),12 (3),5 (2),7 (2),1 (1),3 (2),58 (5),69 (4),74 (4),76 (4),34 (4),9 (3),3 (2),1 (1)
3,RI,28 (8),2 (3),22 (8),13 (7),12 (8),1 (2),2 (2),63 (9),82 (6),82 (7),81 (8),39 (9),6 (4),2 (2),0 (0)
3,SC,38 (6),4 (2),18 (5),18 (4),11 (4),6 (3),1 (1),49 (6),61 (6),79 (5),49 (6),42 (6),11 (3),3 (2),2 (1)
3,SD,33 (9),3 (2),18 (7),11 (5),8 (4),4 (4),0 (0),48 (9),62 (9),62 (9),41 (9),35 (9),11 (5),2 (2),1 (2)
3,TN,31 (5),3 (2),16 (4),15 (4),9 (4),5 (3),0 (1),57 (6),58 (6),79 (5),51 (6),36 (5),10 (3),3 (2),2 (2)
3,TX,31 (5),4 (2),14 (3),12 (3),11 (3),4 (2),1 (1),58 (5),67 (5),76 (4),64 (5),34 (5),7 (2),1 (1),1 (2)
3,UT,32 (7),4 (3),25 (7),16 (6),7 (4),2 (2),1 (2),52 (8),61 (8),78 (7),45 (8),48 (8),12 (4),5 (4),3 (3)
3,VA,30 (5),2 (1),12 (4),7 (3),8 (3),4 (2),0 (1),59 (6),70 (5),76 (5),70 (5),32 (5),9 (3),1 (1),0 (0)
3,VT,24 (7),0 (0),13 (5),6 (4),6 (4),0 (0),5 (4),66 (8),77 (7),78 (7),66 (8),34 (8),7 (4),0 (1),0 (0)
3,WA,25 (4),2 (1),14 (3),7 (3),11 (3),1 (1),5 (3),58 (5),65 (5),75 (5),53 (5),31 (5),7 (3),1 (1),1 (1)
3,WI,33 (6),2 (2),20 (5),12 (4),9 (4),2 (1),0 (0),44 (6),61 (6),70 (6),44 (6),44 (6),12 (4),4 (2),1 (2)
3,WV,26 (8),3 (3),21 (8),6 (3),11 (6),6 (6),0 (0),43 (9),64 (9),77 (8),46 (10),39 (9),8 (4),4 (5),1 (1)
3,WY,29 (10),3 (4),16 (8),8 (5),3 (3),5 (5),0 (0),41 (11),51 (12),75 (10),40 (11),32 (10),17 (8),2 (2),0 (0)
5,National,33 (1),5 (0),18 (1),15 (1),11 (1),5 (0),3 (0),50 (1),60 (1),74 (1),65 (1),43 (1),11 (1),4 (0),2 (0)
5,AK,41 (12),3 (3),21 (10),14 (6),20 (10),2 (3),1 (2),45 (12),50 (12),73 (9),59 (11),43 (12),11 (7),3 (3),1 (1)
5,AL,30 (6),5 (3),22 (5),17 (5),13 (5),10 (5),1 (2),49 (6),56 (6),74 (6),57 (6),47 (6),11 (4),3 (2),3 (2)
5,AR,31 (6),6 (3),20 (6),16 (5),14 (5),7 (3),1 (1),46 (7),50 (7),69 (7),56 (7),42 (7),12 (5),4 (3),2 (2)
5,AZ,38 (6),6 (3),20 (5),21 (5),13 (4),4 (2),5 (3),50 (6),57 (6),74 (5),62 (6),45 (6),10 (3),5 (3),2 (1)
5,CA,34 (4),5 (2),14 (3),13 (3),10 (3),4 (2),4 (2),60 (4),68 (4),78 (3),78 (3),38 (4),10 (3),3 (1),1 (1)
5,CO,32 (5),4 (2),20 (5),17 (4),15 (5),4 (3),5 (3),46 (6),54 (6),66 (5),66 (5),45 (6),9 (3),8 (4),2 (2)
5,CT,30 (6),4 (2),17 (4),14 (4),10 (4),5 (3),6 (4),47 (6),63 (6),78 (5),81 (5),41 (6),9 (4),4 (2),3 (3)
5,DC,22 (5),4 (2),17 (5),8 (4),10 (4),4 (2),13 (5),63 (6),71 (6),81 (5),86 (4),36 (6),8 (3),2 (2),1 (1)
5,DE,31 (6),5 (3),15 (4),11 (4),8 (3),3 (3),3 (2),54 (7),68 (6),76 (6),83 (5),43 (6),10 (4),3 (2),3 (3)
